Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_Body,0.0103110622754226,-0.138333813435703,-0.00633427200512993,0,0,0,0.140972114032924,0.000172858210708355,-9.20364029032314E-08,-1.60625193941857E-06,0.000238776777529016,-1.46977761927676E-07,0.000396584509314805,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Body.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Body.STL,,chy中心架2012-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Link_Shoulder,-0.0274247665425242,-0.00816227985534069,0.0125762828596184,0,0,0,0.0207864363086098,6.27146358863494E-06,3.91384833154346E-08,-1.74281855565268E-07,6.22523670847366E-06,-2.24464499683624E-07,1.02843302670418E-05,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Shoulder.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Shoulder.STL,,chysholdersheft-1,Origin_Joint_Shoulder_Body6,Axis_Joint_Shoulder_Body6,Joint_Shoulder_Body,revolute,-0.024262,-0.21097,0.0042832,-3.1089,0,1.5708,Link_Body,1,0,0,0,0,-0.5,1.5,,,,,,,,0
Link_Arm,-0.0710876124947527,0.0340358908842903,-0.0177604221817192,0,0,0,0.108265195096751,4.83910286989676E-05,5.63954736871045E-05,7.98486978154872E-06,0.000139263714036457,-3.82803849449154E-06,0.000163044159957564,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Arm.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Arm.STL,,chyarm1-1,Origin_Joint_Arm_Shoulder4,Axis_Joint_Arm_Shoulder4,Joint_Arm_Shoulder,revolute,-0.039,-0.0050373,0.025,1.5708,1.0539,-3.1416,Link_Shoulder,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Hand,0.0536175359968078,0.0739272398889915,0.0110737358724703,0,0,0,0.0420735853495988,6.79633343581309E-06,-6.55893416894574E-06,1.89928053845189E-06,2.45724016984148E-05,6.24920220189582E-07,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Hand.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Hand.STL,,chyHand-1,Origin_Joint_Hand_Arm3,Axis_Joint_Hand_Arm3,Joint_Hand_Arm,revolute,-0.13,0,-0.031984,3.1416,0,2.8554,Link_Arm,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Shoulder_lf,0.0297444649113038,-0.0103661778761098,0.0113168142585662,0,0,0,0.024381282517391,6.47635682118491E-06,-1.78209928375872E-07,5.84885132806064E-07,6.88016866534127E-06,-8.48693360788403E-07,1.06252181988618E-05,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Shoulder_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Shoulder_lf.STL,,chysholdersheft2-1,Origin_Joint_Shoulder_Body_lf2,Axis_Joint_Shoulder_Body_lf2,Joint_Shoulder_Body_lf,revolute,0.044738,-0.21111,0.0042832,3.1357,0,-1.5708,Link_Body,1,0,0,0,0,-0.5,1.5,,,,,,,,0
Link_Arm_lf,-0.07869107134756,-0.00442784469741125,-0.0187810440052837,0,0,0,0.108265195096751,2.18665393901229E-05,-8.15777841067259E-06,8.84132248933236E-06,0.000165788203345302,4.92991666485187E-07,0.000163044159957564,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Arm_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Arm_lf.STL,,chyarm1-2,Origin_Joint_Arm_Shoulder_lf3,Axis_Joint_Arm_Shoulder_lf3,Joint_Arm_Shoulder_lf,revolute,0.036,-0.0043109,0.024951,-1.434,1.4843,0.13633,Link_Shoulder_lf,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Hand_lf,0.0382235851535002,-0.037834395297675,0.0117025057426633,0,0,0,0.0420735853495988,1.26222853010981E-05,1.061321913219E-05,1.59781337086335E-06,1.87464498331299E-05,-1.20199179582653E-06,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Hand_lf.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Hand_lf.STL,,chyHand-2,Origin_Joint_Hand_Arm_lf2,Axis_Joint_Hand_Arm_lf2,Joint_Hand_Arm_lf,revolute,-0.13,0,-0.032376,3.1416,0,2.6143,Link_Arm_lf,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Shoulder_re,-0.0252555849108747,-0.0102321643187586,0.0114381270782385,0,0,0,0.024381282517391,6.47635682902833E-06,-1.71308517453452E-07,5.86943623501042E-07,6.86069697624157E-06,-8.04349947667647E-07,1.0644689880118E-05,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Shoulder_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Shoulder_re.STL,,chysholdersheft2-2,Origin_Joint_Shoulder_Body_re7,Axis_Joint_Shoulder_Body_re7,Joint_Shoulder_Body_re,revolute,-0.024189,-0.010105,0.0045518,-2.8097,0,1.5708,Link_Body,1,0,0,0,0,-0.5,1.5,,,,,,,,0
Link_Arm_re,-0.0788155464015625,-1.28029117703737E-05,-0.0227977426419542,0,0,0,0.108265195096751,2.14056382437845E-05,-5.70861722950911E-08,8.85505589058663E-06,0.00016624910449164,-3.05257037534542E-09,0.000163044159957564,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Arm_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Arm_re.STL,,chyarm1-3,Origin_Joint_Arm_Shoulder_re5,Axis_Joint_Arm_Shoulder_re5,Joint_Arm_Shoulder_re,revolute,-0.016,0,0.025,-1.5708,1.5389,0,Link_Shoulder_re,0,0,1,0,0,-1.5,1.5,,,,,,,,0
Link_Hand_re,0.0526382833749993,-6.93889390390723E-17,0.00897198634715779,0,0,0,0.0420735853495988,4.63824751744344E-06,2.62116992505803E-20,1.99944788512829E-06,2.67304876167845E-05,-2.57937006310257E-21,2.83575795096436E-05,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Hand_re.STL,1,1,1,1,0,0,0,0,0,0,package://chyPapa2/meshes/Link_Hand_re.STL,,chyHand-3,,,Joint_Hand_Arm_re,revolute,-0.13,0,-0.039123,-3.1416,0,-3.1308,Link_Arm_re,0,0,1,0,0,-1.5,1.5,,,,,,,,0
